,0
799,71
800,69
801,67
802,65
803,61
804,55
805,48
806,33
807,138
808,166
809,178
810,185
811,192
812,194
813,196
814,197
815,197
816,196
817,194
818,192
819,185
820,177
821,162
822,7
823,38
824,51
825,59
826,65
827,68
828,70
829,72
830,74
831,74
832,74
833,73
834,71
835,69
836,66
837,63
838,56
839,49
840,35
841,130
842,163
843,177
844,184
845,191
846,194
847,197
848,199
849,200
850,201
851,202
852,202
853,202
854,201
855,201
856,200
857,199
858,199
859,197
860,196
861,194
862,192
863,187
864,181
865,172
866,154
867,18
868,38
869,50
870,57
871,64
872,67
873,69
874,71
875,72
876,73
877,74
878,73
879,72
880,71
881,69
882,66
883,63
884,56
885,49
886,37
887,5
888,162
889,177
890,183
891,189
892,193
893,194
894,195
895,195
896,194
897,192
898,187
899,181
900,172
901,151
902,26
903,45
904,54
905,61
906,66
907,69
908,71
909,72
910,73
911,72
912,72
913,70
914,68
915,65
916,61
917,54
918,47
919,33
920,135
921,164
922,177
923,183
924,189
925,193
926,196
927,197
928,199
929,200
930,200
931,200
932,200
933,199
934,199
935,198
936,197
937,196
938,194
939,193
940,192
941,188
942,183
943,179
944,172
945,162
946,137
947,28
948,42
949,50
950,56
951,61
952,65
953,67
954,68
955,69
956,69
957,69
958,68
959,67
960,65
961,63
962,57
963,51
964,41
965,23
966,146
967,164
968,175
969,180
970,183
971,185
972,185
973,184
974,183
975,180
976,176
977,165
978,146
979,23
980,40
981,50
982,56
983,62
984,65
985,67
986,68
987,68
988,68
989,68
990,67
991,65
992,62
993,57
994,51
995,43
996,30
997,134
998,162
999,173
1000,180
1001,185
1002,189
1003,192
1004,194
1005,195
1006,195
1007,196
1008,196
1009,196
1010,195
1011,195
1012,194
1013,193
1014,192
1015,191
1016,189
1017,186
1018,183
1019,180
1020,177
1021,171
1022,164
1023,153
1024,130
1025,22
1026,34
1027,41
1028,48
1029,51
1030,54
1031,56
1032,58
1033,58
1034,58
1035,57
1036,56
1037,53
1038,51
1039,48
1040,42
1041,37
1042,32
1043,22
1044,10
1045,131
1046,140
1047,145
1048,145
1049,144
1050,136
1051,3
1052,18
1053,28
1054,36
1055,41
1056,47
1057,50
1058,52
1059,54
1060,56
1061,57
1062,57
1063,56
1064,55
1065,53
1066,51
1067,48
1068,41
1069,34
1070,20
1071,134
1072,155
1073,165
1074,172
1075,177
1076,179
1077,181
1078,183
1079,183
1080,184
1081,183
1082,183
1083,183
1084,182
1085,181
1086,180
1087,179
1088,177
1089,176
1090,175
1091,174
1092,172
1093,171
1094,171
1095,170
1096,170
1097,169
1098,168
1099,166
1100,164
1101,163
1102,160
1103,156
1104,150
1105,143
1106,129
1107,13
1108,22
1109,29
1110,33
1111,36
1112,38
1113,40
1114,42
1115,45
1116,48
1117,49
1118,50
1119,51
1120,52
1121,53
1122,53
1123,53
1124,53
1125,52
1126,51
1127,49
1128,48
1129,44
1130,40
1131,36
1132,32
1133,26
1134,19
1135,8
1136,132
1137,143
1138,147
1139,150
1140,151
1141,153
1142,155
1143,156
1144,156
1145,156
1146,155
1147,154
1148,154
1149,154
1150,154
1151,153
1152,152
1153,152
1154,153
1155,155
1156,157
1157,159
1158,160
1159,161
1160,163
1161,164
1162,165
1163,166
1164,166
1165,167
1166,167
1167,166
1168,166
1169,165
1170,163
1171,162
1172,160
1173,157
1174,153
1175,148
1176,144
1177,136
1178,128
1179,6
1180,13
1181,18
1182,21
1183,24
1184,25
1185,27
1186,28
1187,30
1188,31
1189,32
1190,31
1191,31
1192,31
1193,31
1194,31
1195,30
1196,29
1197,28
1198,27
1199,27
1200,26
1201,24
1202,23
1203,22
1204,20
1205,20
1206,18
1207,17
1208,15
1209,12
1210,10
1211,7
1212,4
1213,1
1214,129
1215,131
1216,133
1217,135
1218,137
1219,139
1220,141
1221,141
1222,142
1223,143
1224,143
1225,143
1226,144
1227,144
1228,144
1229,144
1230,144
1231,144
1232,144
1233,144
1234,144
1235,144
1236,142
1237,141
1238,141
1239,140
1240,139
1241,137
1242,135
1243,134
1244,133
1245,133
1246,132
1247,131
1248,130
1249,129
1250,130
1251,130
1252,129
1253,128
1254,0
1255,0
1256,0
1257,0
1258,1
1259,2
1260,3
1261,4
1262,5
1263,6
1264,7
1265,7
1266,8
1267,8
1268,8
1269,8
1270,7
1271,6
1272,6
1273,5
1274,4
1275,4
1276,3
1277,2
1278,2
1279,1
1280,1
1281,1
1282,1
1283,1
1284,1
1285,1
1286,2
1287,3
1288,3
1289,3
1290,4
1291,4
1292,5
1293,5
1294,5
1295,5
1296,5
1297,6
1298,6
1299,6
1300,6
1301,5
1302,4
1303,4
1304,4
1305,3
1306,2
1307,2
1308,1
1309,0
1310,0
1311,128
1312,129
1313,131
1314,132
1315,134
1316,134
1317,135
1318,137
1319,139
1320,141
1321,142
1322,141
1323,141
1324,142
1325,143
1326,143
1327,141
1328,138
1329,137
1330,138
1331,139
1332,137
1333,135
1334,133
1335,132
1336,133
1337,134
1338,134
1339,132
1340,129
1341,128
1342,128
1343,129
1344,0
1345,3
1346,6
1347,7
1348,6
1349,5
1350,5
1351,6
1352,6
1353,5
1354,3
1355,1
1356,2
1357,3
1358,5
1359,5
1360,4
1361,3
1362,4
1363,5
1364,6
1365,6
1366,4
1367,3
1368,2
1369,3
1370,4
1371,4
1372,3
1373,2
1374,2
1375,3
1376,4
1377,4
1378,3
1379,3
1380,4
1381,6
1382,6
1383,5
1384,4
1385,4
1386,4
1387,5
1388,3
1389,2
1390,0
1391,0
1392,0
1393,0
1394,128
1395,129
1396,130
1397,130
1398,129
1399,130
1400,132
1401,133
1402,133
1403,133
1404,133
1405,133
1406,134
1407,135
1408,134
1409,132
1410,131
1411,131
1412,132
1413,131
1414,130
1415,129
1416,128
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,1
1424,0
1425,130
1426,132
1427,131
1428,130
1429,129
1430,130
1431,132
1432,132
1433,130
1434,128
1435,0
1436,128
1437,129
1438,129
1439,129
1440,128
1441,129
1442,130
1443,131
1444,132
1445,131
1446,130
1447,129
1448,129
1449,129
1450,129
1451,128
1452,1
1453,2
1454,2
1455,2
1456,3
1457,4
1458,5
1459,6
1460,6
1461,6
1462,7
1463,8
1464,8
1465,8
1466,9
1467,10
1468,10
1469,9
1470,8
1471,8
1472,9
1473,8
1474,6
1475,3
1476,1
1477,0
1478,0
1479,129
1480,132
1481,135
1482,136
1483,136
1484,136
1485,136
1486,137
1487,138
1488,138
1489,136
1490,134
1491,133
1492,133
1493,134
1494,133
1495,130
1496,128
1497,128
1498,128
1499,128
1500,1
1501,3
1502,3
1503,2
1504,1
1505,1
1506,2
1507,2
1508,2
1509,1
1510,0
1511,0
1512,0
1513,1
1514,0
1515,129
1516,130
1517,130
1518,130
1519,130
1520,131
1521,132
1522,132
1523,131
1524,131
1525,131
1526,131
1527,131
1528,130
1529,130
1530,129
1531,129
1532,128
1533,128
1534,128
1535,128
1536,128
1537,2
1538,3
1539,3
1540,1
1541,2
1542,4
1543,7
1544,7
1545,6
1546,5
1547,6
1548,8
1549,8
1550,7
1551,4
1552,3
1553,3
1554,3
1555,3
1556,1
1557,128
1558,130
1559,130
1560,130
1561,130
1562,132
1563,134
1564,135
1565,134
1566,133
1567,132
1568,133
1569,134
1570,133
1571,131
1572,129
1573,128
1574,128
1575,0
1576,1
1577,3
1578,5
1579,5
1580,5
1581,4
1582,5
1583,5
1584,5
1585,4
1586,2
1587,1
1588,0
1589,128
1590,128
1591,130
1592,131
1593,132
1594,131
1595,131
1596,131
1597,132
1598,132
1599,132
1600,132
1601,131
1602,131
1603,131
1604,131
1605,131
1606,130
1607,130
1608,129
1609,128
1610,129
1611,129
1612,128
1613,0
1614,0
1615,128
1616,129
1617,129
1618,128
1619,0
1620,0
1621,128
1622,128
1623,0
1624,2
1625,3
1626,2
1627,3
1628,4
1629,4
1630,6
1631,6
1632,7
1633,6
1634,6
1635,6
1636,7
1637,7
1638,6
1639,3
1640,2
1641,2
1642,2
1643,0
1644,130
1645,133
1646,134
1647,133
1648,134
1649,136
1650,138
1651,140
1652,139
1653,137
1654,136
1655,135
1656,135
1657,134
1658,131
1659,128
1660,2
1661,3
1662,3
1663,4
1664,6
1665,8
1666,9
1667,8
1668,6
1669,6
1670,7
1671,7
1672,6
1673,4
1674,3
1675,4
1676,3
1677,0
1678,129
1679,129
1680,129
1681,130
1682,133
1683,136
1684,137
1685,136
1686,135
1687,136
1688,137
1689,137
1690,136
1691,134
1692,133
1693,132
1694,132
1695,131
1696,129
1697,0
1698,1
1699,1
1700,2
1701,3
1702,4
1703,5
1704,6
1705,7
1706,8
1707,9
1708,9
1709,9
1710,10
1711,10
1712,10
1713,9
1714,8
1715,7
1716,6
1717,4
1718,3
1719,1
1720,128
1721,130
1722,132
1723,133
1724,135
1725,136
1726,136
1727,137
1728,139
1729,139
1730,139
1731,139
1732,139
1733,139
1734,138
1735,137
1736,135
1737,132
1738,130
1739,128
1740,2
1741,4
1742,7
1743,10
1744,11
1745,12
1746,11
1747,11
1748,11
1749,10
1750,9
1751,7
1752,5
1753,4
1754,3
1755,3
1756,2
1757,0
1758,129
1759,130
1760,130
1761,130
1762,132
1763,134
1764,135
1765,136
1766,135
1767,135
1768,136
1769,137
1770,137
1771,137
1772,136
1773,135
1774,135
1775,134
1776,133
1777,131
1778,129
1779,128
1780,1
1781,2
1782,3
1783,5
1784,6
1785,6
1786,7
1787,8
1788,9
1789,10
1790,10
1791,10
1792,10
1793,11
1794,11
1795,10
1796,9
1797,7
1798,6
1799,4
1800,3
1801,1
1802,128
1803,130
1804,133
1805,136
1806,137
1807,138
1808,140
1809,142
1810,143
1811,142
1812,141
1813,139
1814,139
1815,138
1816,136
1817,134
1818,131
1819,129
1820,128
1821,0
1822,2
1823,5
1824,7
1825,8
1826,9
1827,10
1828,10
1829,10
1830,10
1831,10
1832,8
1833,6
1834,5
1835,3
1836,3
1837,2
1838,1
1839,0
1840,129
1841,129
1842,128
1843,128
1844,128
1845,130
1846,132
1847,132
1848,131
1849,131
1850,132
1851,133
1852,134
1853,133
1854,132
1855,131
1856,132
1857,132
1858,132
1859,131
1860,130
1861,129
1862,129
1863,129
1864,129
1865,129
1866,0
1867,1
1868,1
1869,1
1870,1
